artist,album_type,track_name,release_date,release_year,popularity,duration_ms,explicit,disc_number,track_number,song_age_years,staying_index
TXT,album,Do It Like That,2023-10-13,2023,59,145065,False,1,9,2,19.666666666666668
BTS,album,Awake,2016-10-10,2016,59,226160,False,1,9,9,5.9
TXT,single,Can't You See Me?,2020-05-18,2020,59,201445,False,1,2,5,9.833333333333334
BTS,album,Outro: Tear,2018-05-18,2018,59,284980,False,1,11,7,7.375
BTS,album,Singularity,2018-08-24,2018,59,196998,False,1,8,7,7.375
BTS,album,The Truth Untold,2018-08-24,2018,59,242292,False,1,10,7,7.375
TXT,single,Thursday's Child Has Far To Go,2022-05-09,2022,59,211399,False,1,5,3,14.75
Blackpink,single,THE GIRLS (BLACKPINK THE GAME OST),2023-08-25,2023,59,162000,False,1,1,2,19.666666666666668
BTS,album,Crystal Snow,2018-04-04,2018,59,323360,False,1,9,7,7.375
BTS,album,2! 3!,2016-10-10,2016,59,272537,False,1,14,9,5.9
BTS,album,Lost,2016-10-10,2016,59,241787,False,1,10,9,5.9
TXT,single,Cat & Dog,2019-03-04,2019,58,187573,False,1,4,6,8.285714285714286
Blackpink,album,Bet You Wanna (Feat. Cardi B),2020-10-02,2020,58,159168,False,1,4,5,9.666666666666666
Blackpink,album,Ready For Love,2022-09-16,2022,58,184677,False,1,8,3,14.5
BTS,single,Dream Glow (BTS World Original Soundtrack) (Pt. 1),2019-06-07,2019,58,187457,False,1,1,6,8.285714285714286
Blackpink,single,Kick It,2019-04-05,2019,58,191225,False,1,3,6,8.285714285714286
TXT,album,Quarter Life,2024-04-01,2024,58,149346,False,1,6,1,29.0
TXT,album,No Rules,2021-05-31,2021,58,186076,False,1,6,4,11.6
BTS,album,Begin,2016-10-10,2016,58,229740,False,1,3,9,5.8
Blackpink,single,Really,2018-06-15,2018,58,197789,False,1,3,7,7.25
Blackpink,album,The Happiest Girl,2022-09-16,2022,58,222025,False,1,6,3,14.5
aespa,single,aenergy,2021-10-05,2021,58,147400,False,1,1,4,11.6
TXT,single,Lonely Boy (The tattoo on my ring finger),2022-05-09,2022,58,168751,False,1,4,3,14.5
BTS,album,Trivia 承 : Love,2018-08-24,2018,58,225697,False,1,6,7,7.25
BTS,album,Don't Leave Me,2018-04-04,2018,58,227413,False,1,7,7,7.25
BTS,album,Lights,2020-07-14,2020,57,292853,False,1,11,5,9.5
TXT,single,Danger,2024-11-04,2024,57,135948,False,1,3,1,28.5
TXT,single,Maze in the Mirror,2020-05-18,2020,57,226083,False,1,4,5,9.5
TXT,single,Resist (Not Gonna Run Away),2024-11-04,2024,57,129735,False,1,4,1,28.5
TXT,single,Fairy of Shampoo,2020-05-18,2020,57,267099,False,1,3,5,9.5
Blackpink,album,Yeah Yeah Yeah,2022-09-16,2022,57,178923,False,1,4,3,14.25
BTS,album,Life Goes On,2022-06-10,2022,57,208088,False,1,17,3,14.25
TXT,album,Dreamer,2023-10-13,2023,57,186584,False,1,4,2,19.0
TXT,album,MOA Diary (Dubaddu Wari Wari),2021-08-17,2021,57,188276,False,1,8,4,11.4
BTS,single,"Angel Pt. 2 (feat. Jimin of BTS, Charlie Puth and Muni Long)",2023-05-18,2023,57,176454,False,1,2,2,19.0
aespa,single,Dreams Come True,2021-12-20,2021,57,204933,False,1,1,4,11.4
TXT,album,Blue Spring,2023-10-13,2023,57,185948,False,1,8,2,19.0
BTS,album,Intro: Boy Meets Evil,2016-10-10,2016,56,121770,False,1,1,9,5.6
aespa,single,Salty & Sweet,2023-05-08,2023,56,201760,False,1,3,2,18.666666666666668
Blackpink,single,See U Later,2018-06-15,2018,56,198866,False,1,4,7,7.0
BTS,album,Am I Wrong,2016-10-10,2016,56,213082,False,1,12,9,5.6
BTS,album,Miss Right,2014-05-14,2014,56,241374,False,1,1,11,4.666666666666667
TXT,single,PUMA,2020-05-18,2020,56,205519,False,1,5,5,9.333333333333334
TXT,single,Our Summer,2019-03-04,2019,56,210280,False,1,3,6,8.0
TXT,single,Ghosting,2020-10-26,2020,56,223491,False,1,1,5,9.333333333333334
BTS,single,Come Back Home,2017-07-04,2017,55,244587,False,1,1,8,6.111111111111111
TXT,single,We Lost The Summer,2020-10-26,2020,55,210549,False,1,3,5,9.166666666666666
TXT,single,Forty One Winks,2024-11-04,2024,55,153142,False,1,5,1,27.5
TXT,single,Higher Than Heaven,2024-11-04,2024,55,161734,False,1,6,1,27.5
